,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
140,"Johor Bahru, Johor, Malaysia",7/7/2020,31.6,26.0,27.4,37.2,0.0,10.2,138.54,27.7,6.0,49.6,82.65,Partially cloudy
141,"Johor Bahru, Johor, Malaysia",7/8/2020,29.9,25.4,27.2,34.9,37.0,6.4,244.75,23.0,6.0,51.8,83.92,"Rain, Partially cloudy"
142,"Johor Bahru, Johor, Malaysia",7/9/2020,28.0,24.9,25.9,31.5,7.0,8.3,240.54,28.9,6.0,54.9,86.43,"Rain, Partially cloudy"
143,"Johor Bahru, Johor, Malaysia",7/10/2020,30.4,24.9,27.5,35.0,0.2,7.9,135.0,26.4,6.2,51.4,78.27,"Rain, Partially cloudy"
144,"Johor Bahru, Johor, Malaysia",7/11/2020,29.7,26.1,27.4,35.1,2.5,7.3,132.17,24.2,6.1,45.0,83.41,"Rain, Partially cloudy"
145,"Johor Bahru, Johor, Malaysia",7/12/2020,31.1,26.0,28.4,37.2,0.0,10.7,174.96,27.7,6.0,54.7,79.37,Partially cloudy
146,"Johor Bahru, Johor, Malaysia",07/13/2020,28.0,24.6,25.9,32.1,30.0,7.9,220.08,25.3,5.5,51.9,89.43,"Rain, Partially cloudy"
147,"Johor Bahru, Johor, Malaysia",07/14/2020,29.0,25.0,26.9,33.7,9.6,7.1,171.88,28.9,6.2,56.6,82.93,"Rain, Partially cloudy"
148,"Johor Bahru, Johor, Malaysia",07/15/2020,30.1,25.4,27.4,36.4,0.0,8.2,161.88,24.2,6.0,52.2,84.76,Partially cloudy
149,"Johor Bahru, Johor, Malaysia",07/16/2020,33.2,25.4,27.9,38.4,0.0,8.6,100.96,24.2,5.9,47.0,82.92,Partially cloudy
150,"Johor Bahru, Johor, Malaysia",07/21/2020,32.6,26.9,29.0,38.3,0.0,8.5,109.13,19.7,6.1,52.7,75.2,Partially cloudy
151,"Johor Bahru, Johor, Malaysia",07/29/2020,28.1,25.0,26.1,31.8,30.0,8.2,144.58,25.3,5.6,54.0,88.25,"Rain, Partially cloudy"
