,Name,Date time,Prediction,color_code
297,"Selangor, Malaysia",21/3/2022,24.74094772,#000000
298,"Selangor, Malaysia",22/3/2022,25.08999252,#000000
299,"Selangor, Malaysia",23/3/2022,24.92655754,#000000
300,"Selangor, Malaysia",24/3/2022,24.7184906,#000000
301,"Selangor, Malaysia",25/3/2022,25.1447506,#000000
302,"Selangor, Malaysia",26/3/2022,24.72861099,#000000
303,"Selangor, Malaysia",27/3/2022,24.9294796,#000000
304,"Selangor, Malaysia",28/3/2022,24.61340141,#000000
305,"Selangor, Malaysia",29/3/2022,24.96094513,#000000
306,"Selangor, Malaysia",30/3/2022,24.79711151,#000000
307,"Selangor, Malaysia",31/3/2022,24.58969498,#000000
308,"Selangor, Malaysia",1/4/2022,25.01759338,#000000
309,"Selangor, Malaysia",2/4/2022,24.60400963,#000000
310,"Selangor, Malaysia",3/4/2022,24.80825996,#000000
311,"Selangor, Malaysia",4/4/2022,24.49630737,#000000
312,"Selangor, Malaysia",5/4/2022,24.84860992,#000000
313,"Selangor, Malaysia",6/4/2022,24.69006538,#000000
314,"Selangor, Malaysia",7/4/2022,24.48836327,#000000
315,"Selangor, Malaysia",8/4/2022,24.92227554,#000000
316,"Selangor, Malaysia",9/4/2022,24.51489258,#000000
317,"Selangor, Malaysia",10/4/2022,24.72541046,#000000
318,"Selangor, Malaysia",11/4/2022,24.4196682,#000000
319,"Selangor, Malaysia",12/4/2022,24.77801323,#000000
320,"Selangor, Malaysia",13/4/2022,24.62522697,#000000
321,"Selangor, Malaysia",14/4/2022,24.42888069,#000000
322,"Selangor, Malaysia",15/4/2022,24.86765289,#000000
323,"Selangor, Malaysia",16/4/2022,24.46452332,#000000
324,"Selangor, Malaysia",17/4/2022,24.67860794,#000000
325,"Selangor, Malaysia",18/4/2022,24.37565994,#000000
326,"Selangor, Malaysia",19/4/2022,24.73595238,#000000
327,"Selangor, Malaysia",20/4/2022,24.58420753,#000000
328,"Selangor, Malaysia",21/4/2022,24.38794708,#000000
329,"Selangor, Malaysia",22/4/2022,24.82580757,#000000
330,"Selangor, Malaysia",23/4/2022,24.42074966,#000000
331,"Selangor, Malaysia",24/4/2022,24.63186646,#000000
332,"Selangor, Malaysia",25/4/2022,24.32491493,#000000
333,"Selangor, Malaysia",26/4/2022,24.68017769,#000000
334,"Selangor, Malaysia",27/4/2022,24.52240181,#000000
335,"Selangor, Malaysia",28/4/2022,24.31914902,#000000
336,"Selangor, Malaysia",29/4/2022,24.74909782,#000000
337,"Selangor, Malaysia",30/4/2022,24.33526802,#000000
338,"Selangor, Malaysia",1/5/2022,24.53682709,#000000
339,"Selangor, Malaysia",2/5/2022,24.21960831,#000000
340,"Selangor, Malaysia",3/5/2022,24.56398582,#000000
341,"Selangor, Malaysia",4/5/2022,24.394804,#000000
342,"Selangor, Malaysia",5/5/2022,24.17972183,#000000
